sogn_code;sogn_name_full;pop_2020;n_tested;test_inc_cum;n_cases;inc_cum;n_cases_7days;inc_7days;n_tested_7days;tested_inc_7days;n_vaccines_started;n_vaccines_done;n_vaccines_started_7days;n_vaccines_done_7days;pct_vaccines_started;pct_vaccines_done;pct_vaccines_started_7days;pct_vaccines_done_7days
7106;Sankt Thomas (Frederiksberg Municipality);9270;7533;81262,13592233010;499;5382,955771305286;5;53,93743257820928;44;474,6494066882416;586;257;171;8;6,321467098166127;2,772384034519957;1,844660194174757;0,08629989212513485
7107;Mariendals (Frederiksberg Municipality);14563;11533;79193,84742154776;881;6049,577696903110;5;34,33358511295750;65;446,3366064684475;950;404;271;11;6,523381171461924;2,774153677126966;1,860880313122296;0,07553388724850649
7108;Godthaabs (Frederiksberg Municipality);11440;9003;78697,55244755244;653;5708,041958041958;5;43,70629370629371;63;550,6993006993007;1023;571;241;40;8,942307692307692;4,991258741258741;2,106643356643357;0,34965034965034963
7109;Sankt Markus (Frederiksberg Municipality);11417;9077;79504,24805115179;574;5027,590435315757;9;78,82981518787773;84;735,7449417535254;700;263;227;3;6,131207847946046;2,303582377156871;1,988263116405361;0,02627660506262591
7110;Helleruplund (Gentofte Municipality);6618;5265;79555,75702629193;291;4397,098821396192;1;15,11030522816561;57;861,2873980054397;562;334;126;6;8,491991538229072;5,046841946207314;1,903898458748867;0,09066183136899365
7111;Gentofte (Gentofte Municipality);5690;4424;77750,43936731108;297;5219,683655536028;5;87,87346221441125;45;790,8611599297012;504;269;131;12;8,857644991212654;4,727592267135325;2,302284710017575;0,21089630931458700
7112;Jægersborg (Gentofte Municipality);7826;6071;77574,75083056479;392;5008,944543828265;9;115,00127779197545;107;1367,2374137490415;664;344;163;12;8,484538717096857;4,395604395604396;2,082800920010222;0,15333503705596729
7113;Vangede (Gentofte Municipality);10733;8420;78449,64129320787;599;5580,918662070250;12;111,80471443212522;104;968,9741917450854;875;508;212;16;8,152427094009131;4,733066244293301;1,975216621634212;0,14907295257616696
7114;Dyssegård (Gentofte Municipality);9857;7622;77325,75834432384;441;4473,977883737445;3;30,43522369889418;76;771,0256670386527;621;274;201;2;6,300091305671096;2,779750431165669;2,039159987825911;0,02029014913259613
7115;Ordrup (Gentofte Municipality);12667;9242;72961,23786216152;542;4278,834767506119;17;134,20699455277492;148;1168,3903055182759;1199;512;310;35;9,465540380516302;4,041998894765928;2,447304018315307;0,27630851819688956
7116;Skovshoved (Gentofte Municipality);7586;5784;76245,71579224888;364;4798,312681254944;9;118,63959926179804;69;909,5702610071183;496;181;166;4;6,538360137094648;2,385974162931717;2,188241497495386;0,05272871078302136
7117;Hellerup (Gentofte Municipality);7303;5446;74572,09366013967;351;4806,244009311242;2;27,38600575106121;45;616,1851293988772;561;206;188;9;7,681774613172669;2,820758592359304;2,574284540599753;0,12323702587977543
7118;Maglegårds (Gentofte Municipality);6288;4687;74538,80407124682;271;4309,796437659033;5;79,51653944020356;62;986,0050890585242;549;190;144;6;8,730916030534351;3,021628498727735;2,290076335877862;0,09541984732824427
7119;Kongens Lyngby (Lyngby-Taarbæk Municipality);13730;10835;78914,78514202478;661;4814,275309541151;3;21,84996358339403;96;699,1988346686089;1229;433;384;44;8,951201747997088;3,153678077203205;2,796795338674436;0,32046613255644574
7120;Christians (Lyngby-Taarbæk Municipality);9396;7192;76543,20987654320;406;4320,987654320988;4;42,57130693912303;71;755,6406981694338;739;257;227;4;7,865048957002981;2,735206470838655;2,415921668795232;0,04257130693912303
7121;Virum (Lyngby-Taarbæk Municipality);11441;8993;78603,26894502228;469;4099,292019928328;7;61,18346298400490;97;847,8279870640678;927;389;264;9;8,102438598024648;3,400052442968272;2,307490603968185;0,07866445240800629
7122;Sorgenfri (Lyngby-Taarbæk Municipality);6458;5172;80086,71415298854;248;3840,198203778260;1;15,48467017652524;63;975,5342211210901;731;299;188;12;11,319293899039950;4,629916382781047;2,911117993186745;0,18581604211830288
7123;Lundtofte (Lyngby-Taarbæk Municipality);13431;10445;77767,85049512323;607;4519,395428486338;6;44,67277194549921;105;781,7735090462362;1186;534;314;17;8,830317921227012;3,975876703149431;2,337875065147792;0,12657285384558112
7124;Taarbæk (Lyngby-Taarbæk Municipality);1591;1282;80578,25267127593;82;5153,991200502828;0;0,00000000000000;28;1759,8994343180391;138;46;37;2;8,673790069138906;2,891263356379635;2,325581395348837;0,12570710245128849
7125;Søllerød (Rudersdal Municipality);7927;6082;76725,11668979438;321;4049,451242588621;6;75,69067743156302;66;832,5974517471932;586;230;147;3;7,392456162482654;2,901475968209915;1,854421597073294;0,03784533871578151
7126;Vedbæk (Rudersdal Municipality);7427;5709;76868,18365423454;353;4752,928504106638;1;13,46438669718594;64;861,7207486199003;683;223;198;6;9,196176114178000;3,002558233472465;2,665948566042817;0,08078632018311566
7127;Ny Holte (Rudersdal Municipality);6494;4932;75947,02802587004;287;4419,464120726825;4;61,59531875577456;62;954,7274407145057;646;274;155;10;9,947643979057592;4,219279334770557;2,386818601786264;0,15398829688943641
7128;Gammel Holte (Rudersdal Municipality);5350;4090;76448,59813084111;224;4186,915887850468;2;37,38317757009346;50;934,5794392523363;539;225;135;3;10,074766355140188;4,205607476635514;2,523364485981308;0,05607476635514019
7129;Nærum (Rudersdal Municipality);5888;4486;76188,85869565218;287;4874,320652173913;7;118,88586956521740;69;1171,8750000000000;648;265;171;8;11,005434782608695;4,500679347826087;2,904211956521739;0,13586956521739130
7130;Gladsaxe (Gladsaxe Municipality);10789;8781;81388,45120029659;652;6043,192140142738;17;157,56789322458059;133;1232,7370469923069;860;384;277;22;7,971081657243488;3,559180646955233;2,567429789600519;0,20391139123181018
7131;Søborggård (Gladsaxe Municipality);9120;7128;78157,89473684211;515;5646,929824561404;9;98,68421052631579;103;1129,3859649122808;714;284;225;10;7,828947368421052;3,114035087719298;2,467105263157895;0,10964912280701754
7132;Bagsværd (Gladsaxe Municipality);10981;8577;78107,64046990256;610;5555,049631181131;10;91,06638739641198;101;919,7705127037610;937;444;245;7;8,532920499043803;4,043347600400693;2,231126491212093;0,06374647117748838
7133;Stengård (Gladsaxe Municipality);12280;9908;80684,03908794788;557;4535,830618892508;8;65,14657980456026;116;944,6254071661238;1006;450;311;21;8,192182410423452;3,664495114006515;2,532573289902280;0,17100977198697068
7134;Mørkhøj (Gladsaxe Municipality);10022;7807;77898,62302933546;657;6555,577728996208;12;119,73657952504490;91;908,0023947315906;887;436;250;43;8,850528836559569;4,350429056076631;2,494512073438435;0,42905607663141093
7135;Herlev (Herlev Municipality);5431;4306;79285,58276560485;343;6315,595654575584;9;165,71533787516111;53;975,8792119315043;549;224;160;7;10,108635610384828;4,124470631559565;2,946050451113976;0,12888970723623641
7136;Præstebro (Herlev Municipality);6580;5534;84103,34346504559;511;7765,957446808511;5;75,98784194528875;54;820,6686930091186;497;208;147;3;7,553191489361702;3,161094224924013;2,234042553191490;0,04559270516717325
7137;Rødovre (Rødovre Municipality);14135;11428;80848,95649097984;924;6536,964980544747;8;56,59709939865581;117;827,7325787053414;1007;397;312;19;7,124159886805802;2,808631057658295;2,207286876547577;0,13441811107180757
7138;Grøndalslund (Rødovre Municipality);8080;6384;79009,90099009902;444;5495,049504950495;6;74,25742574257426;64;792,0792079207921;652;198;209;9;8,069306930693070;2,450495049504950;2,586633663366336;0,11138613861386137
7139;Islev (Rødovre Municipality);11977;9607;80212,07314018536;816;6813,058361860231;8;66,79468982215914;102;851,6322952325289;975;394;308;31;8,140602822075644;3,289638473741337;2,571595558153127;0,25882942306086670
7140;Hendriksholm (Rødovre Municipality);6460;5119;79241,48606811145;448;6934,984520123840;10;154,79876160990713;58;897,8328173374613;565;212;155;15;8,746130030959751;3,281733746130031;2,399380804953561;0,23219814241486067
7141;Hvidovre (Hvidovre Municipality);10601;8427;79492,50070748043;608;5735,307989812282;8;75,46457881331949;104;981,0395245731536;819;343;253;15;7,725686256013583;3,235543816621073;2,386567304971229;0,14149608527497406
7142;Strandmarks (Hvidovre Municipality);14837;11968;80663,20684774550;866;5836,759452719552;10;67,39906989283548;118;795,3090247354586;1392;574;417;8;9,381950529082699;3,868706611848757;2,810541214531239;0,05391925591426838
7143;Risbjerg (Hvidovre Municipality);11954;9835;82273,71591099213;659;5512,799063075121;18;150,57721264848587;84;702,6936590262674;1225;555;374;21;10,247615860799732;4,642797389994981;3,128659862807428;0,17567341475656684
7144;Brøndbyvester (Brøndby Municipality);9010;7336;81420,64372918979;589;6537,180910099889;12;133,18534961154273;63;699,2230854605993;845;281;226;9;9,378468368479467;3,118756936736959;2,508324084350722;0,09988901220865706
7145;Brøndbyøster (Brøndby Municipality);5482;4359;79514,77562933236;312;5691,353520612915;6;109,44910616563297;33;601,9700839109814;547;168;166;5;9,978110178766872;3,064574972637724;3,028091937249179;0,09120758847136082
7146;Avedøre (Hvidovre Municipality);16120;12903;80043,42431761786;1305;8095,533498759305;27;167,49379652605461;135;837,4689826302729;1388;659;411;13;8,610421836228287;4,088089330024814;2,549627791563275;0,08064516129032258
7147;Glostrup (Glostrup Municipality);23128;18675;80746,28156347285;1470;6355,932203389831;43;185,92182635766170;215;929,6091317883086;2299;1121;472;66;9,940332065029402;4,846938775510204;2,040816326530612;0,28536838464199238
7148;Herstedøster (Albertslund Municipality);9649;7826;81106,85045082391;641;6643,175458596746;9;93,27391439527412;55;570,0072546377862;782;371;186;12;8,104466784122707;3,844958026738522;1,927660897502332;0,12436521919369882
7149;Vallensbæk (Vallensbæk Municipality);16587;13563;81768,85512750949;1255;7566,166274793513;18;108,51871947911015;136;819,9192138421655;1379;563;351;22;8,313739675649606;3,394224392596612;2,116115029842648;0,13263399047446794
7150;Torslunde (Ishøj Municipality);798;674;84461,15288220551;74;9273,182957393483;3;375,93984962406012;8;1002,5062656641603;84;48;21;4;10,526315789473683;6,015037593984962;2,631578947368421;0,50125313283208017
7151;Ishøj (Ishøj Municipality);22191;18438;83087,73827227253;2153;9702,131494750125;75;337,97485467081253;317;1428,5070524086341;1516;627;358;18;6,831598395746023;2,825469785047992;1,613266639628678;0,08111396512099500
7152;Høje Tåstrup (Høje-Taastrup Municipality);12230;9817;80269,82829108748;1137;9296,811120196238;35;286,18152085036792;141;1152,9026982829109;853;404;189;28;6,974652493867540;3,303352412101390;1,545380212591987;0,22894521668029433
7153;Tåstrup Nykirke (Høje-Taastrup Municipality);14744;11326;76817,68855127510;939;6368,692349430277;21;142,43081931633205;143;969,8860553445470;1124;514;244;25;7,623440043407488;3,486163863266414;1,654910472056430;0,16956049918610960
7154;Værløse (Furesø Municipality);16156;12668;78410,49764793266;595;3682,842287694974;20;123,79301807378064;172;1064,6199554345135;1598;642;427;19;9,891062144095072;3,973755880168359;2,642980935875217;0,11760336717009159
7155;Herstedvester (Albertslund Municipality);8952;7167;80060,32171581770;663;7406,166219839141;14;156,38963360142986;55;614,3878462913316;709;316;159;16;7,920017873100983;3,529937444146559;1,776139410187668;0,17873100983020554
7156;Roskilde Domsogn (Roskilde Municipality);19468;14594;74964,04355866037;844;4335,319498664475;6;30,81980686254366;142;729,4020957468667;1843;713;286;75;9,466817341277995;3,662420382165605;1,469077460447915;0,38524758578179574
7157;Roskilde Søndre (Roskilde Municipality);9119;6752;74043,20649193991;365;4002,631867529334;5;54,83057352779910;77;844,3908323281062;667;227;107;13;7,314398508608400;2,489308038162079;1,173374273494901;0,14255949117227765
7158;Vor Frue (Roskilde Municipality);1337;1020;76290,20194465220;53;3964,098728496635;0;0,00000000000000;12;897,5317875841436;90;30;20;0;6,731488406881077;2,243829468960359;1,495886312640239;0,00000000000000000
7159;Sankt Jørgensbjerg (Roskilde Municipality);10475;7578;72343,67541766110;377;3599,045346062052;14;133,65155131264916;73;696,8973747016706;943;409;147;37;9,002386634844868;3,904534606205250;1,403341288782816;0,35322195704057280
7160;Himmelev (Roskilde Municipality);13562;10799;79626,89868750922;567;4180,799292139803;8;58,98834980091432;101;744,7279162365433;1257;586;203;22;9,268544462468663;4,320896622916974;1,496829376198201;0,16221796195251437
7161;Hvedstrup (Roskilde Municipality);605;437;72231,40495867768;43;7107,438016528926;2;330,57851239669418;12;1983,4710743801654;26;6;7;0;4,297520661157025;0,991735537190083;1,157024793388430;0,00000000000000000
