"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-03-26;1084;Hovedstaden;2639;1084
2021-03-26;1085;Sjælland;400;1085
2021-03-27;1081;Nordjylland;270;1081
2021-03-27;1082;Midtjylland;177;1082
2021-03-27;1083;Syddanmark;2322;1083
2021-03-27;1084;Hovedstaden;44;1084
2021-03-27;1085;Sjælland;250;1085
2021-03-28;1081;Nordjylland;22;1081
2021-03-28;1082;Midtjylland;163;1082
2021-03-28;1083;Syddanmark;2540;1083
2021-03-28;1084;Hovedstaden;39;1084
2021-03-28;1085;Sjælland;14;1085
2021-03-29;1081;Nordjylland;115;1081
2021-03-29;1082;Midtjylland;2394;1082
2021-03-29;1083;Syddanmark;2455;1083
2021-03-29;1084;Hovedstaden;550;1084
2021-03-29;1085;Sjælland;604;1085
2021-03-30;1081;Nordjylland;311;1081
2021-03-30;1082;Midtjylland;2923;1082
2021-03-30;1083;Syddanmark;1962;1083
2021-03-30;1084;Hovedstaden;278;1084
2021-03-30;1085;Sjælland;514;1085
2021-03-31;1081;Nordjylland;1763;1081
2021-03-31;1082;Midtjylland;1634;1082
2021-03-31;1083;Syddanmark;1235;1083
2021-03-31;1084;Hovedstaden;3734;1084
2021-03-31;1085;Sjælland;1244;1085
2021-04-01;1081;Nordjylland;36;1081
2021-04-01;1082;Midtjylland;373;1082
2021-04-01;1083;Syddanmark;801;1083
2021-04-01;1084;Hovedstaden;4633;1084
2021-04-01;1085;Sjælland;998;1085
2021-04-02;1081;Nordjylland;545;1081
2021-04-02;1082;Midtjylland;337;1082
2021-04-02;1083;Syddanmark;1901;1083
2021-04-02;1084;Hovedstaden;3671;1084
2021-04-02;1085;Sjælland;464;1085
2021-04-03;1081;Nordjylland;424;1081
2021-04-03;1082;Midtjylland;46;1082
2021-04-03;1083;Syddanmark;1028;1083
2021-04-03;1084;Hovedstaden;96;1084
2021-04-03;1085;Sjælland;582;1085
2021-04-04;1081;Nordjylland;496;1081
2021-04-04;1082;Midtjylland;54;1082
2021-04-04;1083;Syddanmark;918;1083
2021-04-04;1084;Hovedstaden;49;1084
2021-04-04;1085;Sjælland;253;1085
2021-04-05;1081;Nordjylland;592;1081
2021-04-05;1082;Midtjylland;151;1082
2021-04-05;1083;Syddanmark;518;1083
2021-04-05;1084;Hovedstaden;44;1084
2021-04-05;1085;Sjælland;13;1085
2021-04-06;1081;Nordjylland;128;1081
2021-04-06;1082;Midtjylland;1965;1082
2021-04-06;1083;Syddanmark;1848;1083
2021-04-06;1084;Hovedstaden;203;1084
2021-04-06;1085;Sjælland;1884;1085
2021-04-07;1081;Nordjylland;492;1081
2021-04-07;1082;Midtjylland;3794;1082
2021-04-07;1083;Syddanmark;1539;1083
2021-04-07;1084;Hovedstaden;581;1084
2021-04-07;1085;Sjælland;1749;1085
2021-04-08;1081;Nordjylland;961;1081
2021-04-08;1082;Midtjylland;2423;1082
2021-04-08;1083;Syddanmark;1557;1083
2021-04-08;1084;Hovedstaden;1657;1084
2021-04-08;1085;Sjælland;1885;1085
2021-04-09;1081;Nordjylland;1956;1081
2021-04-09;1082;Midtjylland;1286;1082
2021-04-09;1083;Syddanmark;1676;1083
2021-04-09;1084;Hovedstaden;3366;1084
2021-04-09;1085;Sjælland;334;1085
2021-04-10;1081;Nordjylland;1002;1081
2021-04-10;1082;Midtjylland;736;1082
2021-04-10;1083;Syddanmark;1275;1083
2021-04-10;1084;Hovedstaden;1284;1084
2021-04-10;1085;Sjælland;1117;1085
2021-04-11;1081;Nordjylland;1086;1081
2021-04-11;1082;Midtjylland;784;1082
2021-04-11;1083;Syddanmark;1067;1083
2021-04-11;1084;Hovedstaden;139;1084
2021-04-11;1085;Sjælland;812;1085
