"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-01-01;Nyborg;1;0;0;32039;54;0;0;0.17;0.00;0.00
2021-01-01;Næstved;43;0;0;84015;768;0;0;0.91;0.00;0.00
2021-01-01;Odense;5;0;0;206130;1911;0;0;0.93;0.00;0.00
2021-01-01;Odsherred;1;0;0;32845;83;0;0;0.25;0.00;0.00
2021-01-01;Randers;39;0;0;99126;359;0;0;0.36;0.00;0.00
2021-01-01;Ringsted;4;0;0;35295;297;0;0;0.84;0.00;0.00
2021-01-01;Roskilde;25;0;0;89603;955;0;0;1.07;0.00;0.00
2021-01-01;Rudersdal;10;0;0;57228;281;0;0;0.49;0.00;0.00
2021-01-01;Rødovre;30;0;0;41503;189;0;0;0.46;0.00;0.00
2021-01-01;Silkeborg;5;0;0;97836;125;0;0;0.13;0.00;0.00
2021-01-01;Skanderborg;1;0;0;64533;238;0;0;0.37;0.00;0.00
2021-01-01;Skive;4;0;0;45037;51;0;0;0.11;0.00;0.00
2021-01-01;Slagelse;52;0;0;79718;1016;0;0;1.27;0.00;0.00
2021-01-01;Solrød;5;0;0;23824;215;0;0;0.90;0.00;0.00
2021-01-01;Sorø;16;0;0;29986;159;0;0;0.53;0.00;0.00
2021-01-01;Stevns;3;0;0;23624;105;0;0;0.44;0.00;0.00
2021-01-01;Svendborg;3;0;0;59217;157;0;0;0.27;0.00;0.00
2021-01-01;Syddjurs;2;0;0;43731;121;0;0;0.28;0.00;0.00
2021-01-01;Tårnby;10;0;0;42806;197;0;0;0.46;0.00;0.00
2021-01-01;Tønder;2;0;0;36869;32;0;0;0.09;0.00;0.00
2021-01-01;Vallensbæk;3;0;0;16509;67;0;0;0.41;0.00;0.00
2021-01-01;Varde;13;0;0;49725;206;0;0;0.41;0.00;0.00
2021-01-01;Vejen;70;0;0;42592;155;0;0;0.36;0.00;0.00
2021-01-01;Vejle;232;0;0;119500;633;0;0;0.53;0.00;0.00
2021-01-01;Vesthimmerland;1;0;0;36252;61;0;0;0.17;0.00;0.00
2021-01-01;Viborg;36;0;0;96866;280;0;0;0.29;0.00;0.00
2021-01-01;Vordingborg;8;0;0;45358;440;0;0;0.97;0.00;0.00
2021-01-01;Århus;15;0;0;355651;3051;0;0;0.86;0.00;0.00
2021-01-02;Aabenraa;30;0;0;58738;197;0;0;0.34;0.00;0.00
2021-01-02;Aalborg;901;0;0;221177;3243;1;0;1.47;0.00;0.00
2021-01-02;Albertslund;17;0;0;27531;122;0;0;0.44;0.00;0.00
2021-01-02;Allerød;3;0;0;25871;114;0;0;0.44;0.00;0.00
2021-01-02;Assens;7;0;0;40899;90;0;0;0.22;0.00;0.00
2021-01-02;Ballerup;16;0;0;49380;188;0;0;0.38;0.00;0.00
2021-01-02;Billund;5;0;0;26730;202;0;0;0.76;0.00;0.00
2021-01-02;Brøndby;38;0;0;35829;185;0;0;0.52;0.00;0.00
2021-01-02;Brønderslev;60;0;0;36315;185;0;0;0.51;0.00;0.00
2021-01-02;Dragør;7;0;0;14580;67;0;0;0.46;0.00;0.00
2021-01-02;Egedal;15;0;0;44537;213;0;0;0.48;0.00;0.00
2021-01-02;Esbjerg;54;0;0;115457;1034;0;0;0.90;0.00;0.00
2021-01-02;Faaborg-Midtfyn;4;0;0;51927;116;0;0;0.22;0.00;0.00
2021-01-02;Favrskov;203;0;0;49002;347;0;0;0.71;0.00;0.00
2021-01-02;Faxe;28;0;0;37128;155;0;0;0.42;0.00;0.00
2021-01-02;Fredensborg;5;0;0;41314;141;0;0;0.34;0.00;0.00
2021-01-02;Fredericia;114;0;0;51681;221;0;0;0.43;0.00;0.00
2021-01-02;Frederiksberg;337;0;0;103866;905;0;0;0.87;0.00;0.00
2021-01-02;Frederikshavn;54;0;0;58830;129;0;0;0.22;0.00;0.00
2021-01-02;Frederikssund;9;0;0;45881;128;0;0;0.28;0.00;0.00
2021-01-02;Furesø;11;0;0;41583;197;0;0;0.47;0.00;0.00
2021-01-02;Gentofte;25;0;0;74308;472;0;0;0.64;0.00;0.00
2021-01-02;Gladsaxe;36;0;0;69261;405;0;0;0.58;0.00;0.00
2021-01-02;Glostrup;22;0;0;23519;125;0;0;0.53;0.00;0.00
2021-01-02;Greve;31;0;0;50911;459;0;0;0.90;0.00;0.00
2021-01-02;Gribskov;2;0;0;41241;123;0;0;0.30;0.00;0.00
2021-01-02;Guldborgsund;22;0;0;60228;431;0;0;0.72;0.00;0.00
2021-01-02;Haderslev;6;0;0;55255;110;0;0;0.20;0.00;0.00
2021-01-02;Halsnæs;2;0;0;31412;94;0;0;0.30;0.00;0.00
