"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-07-23;70-79;Hovedstaden;28;39
2021-07-23;80-89;Hovedstaden;5;12
2021-07-23;90+;Hovedstaden;2;1
2021-07-23;10-19;Sjælland;900;757
2021-07-23;20-29;Sjælland;412;1196
2021-07-23;30-39;Sjælland;784;211
2021-07-23;40-49;Sjælland;158;2576
2021-07-23;50-59;Sjælland;59;875
2021-07-23;60-69;Sjælland;23;134
2021-07-23;70-79;Sjælland;6;29
2021-07-23;80-89;Sjælland;3;10
;;NA;0;1
2021-07-24;10-19;Nordjylland;785;966
2021-07-24;20-29;Nordjylland;664;480
2021-07-24;30-39;Nordjylland;1239;56
2021-07-24;40-49;Nordjylland;173;1474
2021-07-24;50-59;Nordjylland;67;198
2021-07-24;60-69;Nordjylland;39;26
2021-07-24;70-79;Nordjylland;16;11
2021-07-24;80-89;Nordjylland;5;2
2021-07-24;10-19;Midtjylland;137;255
2021-07-24;20-29;Midtjylland;899;676
2021-07-24;30-39;Midtjylland;1102;60
2021-07-24;40-49;Midtjylland;113;578
2021-07-24;50-59;Midtjylland;46;113
2021-07-24;60-69;Midtjylland;13;8
2021-07-24;70-79;Midtjylland;1;2
2021-07-24;80-89;Midtjylland;1;0
2021-07-24;10-19;Syddanmark;1616;1231
2021-07-24;20-29;Syddanmark;805;1261
2021-07-24;30-39;Syddanmark;1275;42
2021-07-24;40-49;Syddanmark;373;2581
2021-07-24;50-59;Syddanmark;101;842
2021-07-24;60-69;Syddanmark;31;78
2021-07-24;70-79;Syddanmark;5;17
2021-07-24;80-89;Syddanmark;3;4
;;NA;0;1
2021-07-24;10-19;Hovedstaden;1752;1054
2021-07-24;20-29;Hovedstaden;1248;4293
2021-07-24;30-39;Hovedstaden;2852;680
2021-07-24;40-49;Hovedstaden;388;4510
2021-07-24;50-59;Hovedstaden;136;489
2021-07-24;60-69;Hovedstaden;33;121
2021-07-24;70-79;Hovedstaden;10;28
2021-07-24;80-89;Hovedstaden;2;9
;;NA;0;1
2021-07-24;10-19;Sjælland;906;207
2021-07-24;20-29;Sjælland;229;484
2021-07-24;30-39;Sjælland;387;81
