"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2021-04-06;1085;Sjælland;1837;1085
2021-04-07;1081;Nordjylland;489;1081
2021-04-07;1082;Midtjylland;3726;1082
2021-04-07;1083;Syddanmark;1484;1083
2021-04-07;1084;Hovedstaden;560;1084
2021-04-07;1085;Sjælland;1697;1085
2021-04-08;1081;Nordjylland;952;1081
2021-04-08;1082;Midtjylland;2385;1082
2021-04-08;1083;Syddanmark;1508;1083
2021-04-08;1084;Hovedstaden;1595;1084
2021-04-08;1085;Sjælland;1821;1085
2021-04-09;1081;Nordjylland;1927;1081
2021-04-09;1082;Midtjylland;1266;1082
2021-04-09;1083;Syddanmark;1638;1083
2021-04-09;1084;Hovedstaden;3287;1084
2021-04-09;1085;Sjælland;337;1085
2021-04-10;1081;Nordjylland;989;1081
2021-04-10;1082;Midtjylland;720;1082
2021-04-10;1083;Syddanmark;1246;1083
2021-04-10;1084;Hovedstaden;1265;1084
2021-04-10;1085;Sjælland;1104;1085
2021-04-11;1081;Nordjylland;1073;1081
2021-04-11;1082;Midtjylland;791;1082
2021-04-11;1083;Syddanmark;1039;1083
2021-04-11;1084;Hovedstaden;138;1084
2021-04-11;1085;Sjælland;805;1085
2021-04-12;1081;Nordjylland;68;1081
2021-04-12;1082;Midtjylland;1864;1082
2021-04-12;1083;Syddanmark;1519;1083
2021-04-12;1084;Hovedstaden;6714;1084
2021-04-12;1085;Sjælland;1157;1085
2021-04-13;1081;Nordjylland;441;1081
2021-04-13;1082;Midtjylland;1695;1082
2021-04-13;1083;Syddanmark;1184;1083
2021-04-13;1084;Hovedstaden;1054;1084
2021-04-13;1085;Sjælland;1708;1085
2021-04-14;1081;Nordjylland;683;1081
2021-04-14;1082;Midtjylland;2362;1082
2021-04-14;1083;Syddanmark;1500;1083
2021-04-14;1084;Hovedstaden;4452;1084
2021-04-14;1085;Sjælland;1924;1085
2021-04-15;1081;Nordjylland;1454;1081
2021-04-15;1082;Midtjylland;3015;1082
2021-04-15;1083;Syddanmark;1338;1083
2021-04-15;1084;Hovedstaden;1540;1084
2021-04-15;1085;Sjælland;1582;1085
2021-04-16;1081;Nordjylland;924;1081
2021-04-16;1082;Midtjylland;1413;1082
2021-04-16;1083;Syddanmark;1533;1083
2021-04-16;1084;Hovedstaden;2940;1084
2021-04-16;1085;Sjælland;1202;1085
2021-04-17;1081;Nordjylland;19;1081
2021-04-17;1082;Midtjylland;47;1082
2021-04-17;1083;Syddanmark;893;1083
2021-04-17;1084;Hovedstaden;215;1084
2021-04-17;1085;Sjælland;1529;1085
2021-04-18;1081;Nordjylland;2938;1081
2021-04-18;1082;Midtjylland;37;1082
2021-04-18;1083;Syddanmark;620;1083
2021-04-18;1084;Hovedstaden;188;1084
2021-04-18;1085;Sjælland;1286;1085
2021-04-19;1081;Nordjylland;2560;1081
2021-04-19;1082;Midtjylland;4763;1082
2021-04-19;1083;Syddanmark;1537;1083
2021-04-19;1084;Hovedstaden;2069;1084
2021-04-19;1085;Sjælland;3225;1085
2021-04-20;1081;Nordjylland;854;1081
2021-04-20;1082;Midtjylland;4432;1082
2021-04-20;1083;Syddanmark;1751;1083
2021-04-20;1084;Hovedstaden;4918;1084
2021-04-20;1085;Sjælland;4703;1085
2021-04-21;1081;Nordjylland;54;1081
2021-04-21;1082;Midtjylland;5589;1082
2021-04-21;1083;Syddanmark;991;1083
2021-04-21;1084;Hovedstaden;3698;1084
2021-04-21;1085;Sjælland;2218;1085
2021-04-22;1081;Nordjylland;54;1081
2021-04-22;1082;Midtjylland;2615;1082
2021-04-22;1083;Syddanmark;1505;1083
2021-04-22;1084;Hovedstaden;148;1084
2021-04-22;1085;Sjælland;987;1085
2021-04-23;1081;Nordjylland;52;1081
2021-04-23;1082;Midtjylland;1868;1082
2021-04-23;1083;Syddanmark;1919;1083
2021-04-23;1084;Hovedstaden;6856;1084
2021-04-23;1085;Sjælland;385;1085
2021-04-24;1081;Nordjylland;877;1081
2021-04-24;1082;Midtjylland;81;1082
2021-04-24;1083;Syddanmark;1592;1083
2021-04-24;1084;Hovedstaden;1973;1084
2021-04-24;1085;Sjælland;2994;1085
2021-04-25;1081;Nordjylland;491;1081
2021-04-25;1082;Midtjylland;35;1082
2021-04-25;1083;Syddanmark;909;1083
2021-04-25;1084;Hovedstaden;336;1084
2021-04-25;1085;Sjælland;3477;1085
2021-04-26;1081;Nordjylland;1023;1081
2021-04-26;1082;Midtjylland;818;1082
2021-04-26;1083;Syddanmark;1615;1083
2021-04-26;1084;Hovedstaden;3129;1084
2021-04-26;1085;Sjælland;1221;1085
2021-04-27;1081;Nordjylland;2472;1081
2021-04-27;1082;Midtjylland;3716;1082
2021-04-27;1083;Syddanmark;1941;1083
2021-04-27;1084;Hovedstaden;9549;1084
2021-04-27;1085;Sjælland;2993;1085
2021-04-28;1081;Nordjylland;1720;1081
2021-04-28;1082;Midtjylland;5770;1082
2021-04-28;1083;Syddanmark;3743;1083
2021-04-28;1084;Hovedstaden;8073;1084
2021-04-28;1085;Sjælland;1033;1085
