"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-12-08;80-89;Sjælland;3;6
;;NA;0;2
2021-12-09;0-9;Nordjylland;220;0
2021-12-09;10-19;Nordjylland;341;80
2021-12-09;20-29;Nordjylland;49;109
2021-12-09;30-39;Nordjylland;39;69
2021-12-09;40-49;Nordjylland;8;40
2021-12-09;50-59;Nordjylland;8;17
2021-12-09;60-69;Nordjylland;12;4
2021-12-09;70-79;Nordjylland;10;1
2021-12-09;80-89;Nordjylland;1;3
2021-12-09;90+;Nordjylland;1;2
2021-12-09;0-9;Midtjylland;1857;0
2021-12-09;10-19;Midtjylland;996;325
2021-12-09;20-29;Midtjylland;164;343
2021-12-09;30-39;Midtjylland;135;269
2021-12-09;40-49;Midtjylland;55;99
2021-12-09;50-59;Midtjylland;30;45
2021-12-09;60-69;Midtjylland;22;22
2021-12-09;70-79;Midtjylland;17;5
2021-12-09;80-89;Midtjylland;7;2
2021-12-09;90+;Midtjylland;2;1
2021-12-09;0-9;Syddanmark;1506;0
2021-12-09;10-19;Syddanmark;1027;205
2021-12-09;20-29;Syddanmark;135;192
2021-12-09;30-39;Syddanmark;101;181
2021-12-09;40-49;Syddanmark;50;86
2021-12-09;50-59;Syddanmark;52;44
2021-12-09;60-69;Syddanmark;17;19
2021-12-09;70-79;Syddanmark;11;5
2021-12-09;80-89;Syddanmark;9;5
2021-12-09;90+;Syddanmark;1;0
2021-12-09;0-9;Hovedstaden;1315;1
2021-12-09;10-19;Hovedstaden;755;351
2021-12-09;20-29;Hovedstaden;233;448
2021-12-09;30-39;Hovedstaden;230;426
2021-12-09;40-49;Hovedstaden;93;152
2021-12-09;50-59;Hovedstaden;55;70
2021-12-09;60-69;Hovedstaden;37;36
2021-12-09;70-79;Hovedstaden;24;18
2021-12-09;80-89;Hovedstaden;9;6
2021-12-09;90+;Hovedstaden;2;1
2021-12-09;0-9;Sjælland;716;0
2021-12-09;10-19;Sjælland;532;148
2021-12-09;20-29;Sjælland;59;93
2021-12-09;30-39;Sjælland;66;126
2021-12-09;40-49;Sjælland;34;55
2021-12-09;50-59;Sjælland;27;29
2021-12-09;60-69;Sjælland;15;12
2021-12-09;70-79;Sjælland;4;3
2021-12-09;80-89;Sjælland;2;0
2021-12-10;0-9;Nordjylland;768;0
2021-12-10;10-19;Nordjylland;423;47
2021-12-10;20-29;Nordjylland;47;60
2021-12-10;30-39;Nordjylland;42;41
2021-12-10;40-49;Nordjylland;12;12
2021-12-10;50-59;Nordjylland;7;7
2021-12-10;60-69;Nordjylland;6;3
2021-12-10;70-79;Nordjylland;6;1
2021-12-10;80-89;Nordjylland;2;0
2021-12-10;0-9;Midtjylland;1155;0
2021-12-10;10-19;Midtjylland;695;330
2021-12-10;20-29;Midtjylland;148;313
2021-12-10;30-39;Midtjylland;126;282
2021-12-10;40-49;Midtjylland;56;102
2021-12-10;50-59;Midtjylland;25;42
2021-12-10;60-69;Midtjylland;22;11
2021-12-10;70-79;Midtjylland;5;6
2021-12-10;80-89;Midtjylland;1;2
;;NA;0;1
2021-12-10;0-9;Syddanmark;1395;0
2021-12-10;10-19;Syddanmark;920;224
2021-12-10;20-29;Syddanmark;130;229
2021-12-10;30-39;Syddanmark;119;235
2021-12-10;40-49;Syddanmark;63;119
2021-12-10;50-59;Syddanmark;43;39
2021-12-10;60-69;Syddanmark;14;23
2021-12-10;70-79;Syddanmark;17;5
2021-12-10;80-89;Syddanmark;8;2
2021-12-10;90+;Syddanmark;2;0
2021-12-10;0-9;Hovedstaden;1298;1
2021-12-10;10-19;Hovedstaden;718;275
2021-12-10;20-29;Hovedstaden;226;388
2021-12-10;30-39;Hovedstaden;196;372
2021-12-10;40-49;Hovedstaden;84;129
2021-12-10;50-59;Hovedstaden;42;74
2021-12-10;60-69;Hovedstaden;15;32
2021-12-10;70-79;Hovedstaden;15;5
2021-12-10;80-89;Hovedstaden;6;7
2021-12-10;90+;Hovedstaden;1;1
2021-12-10;0-9;Sjælland;750;0
2021-12-10;10-19;Sjælland;506;148
2021-12-10;20-29;Sjælland;68;115
2021-12-10;30-39;Sjælland;55;149
2021-12-10;40-49;Sjælland;31;60
2021-12-10;50-59;Sjælland;12;43
2021-12-10;60-69;Sjælland;11;17
2021-12-10;70-79;Sjælland;5;4
2021-12-10;80-89;Sjælland;3;0
2021-12-11;0-9;Nordjylland;740;0
2021-12-11;10-19;Nordjylland;511;47
2021-12-11;20-29;Nordjylland;15;70
2021-12-11;30-39;Nordjylland;19;35
2021-12-11;40-49;Nordjylland;4;29
2021-12-11;50-59;Nordjylland;4;10
2021-12-11;60-69;Nordjylland;1;2
2021-12-11;70-79;Nordjylland;1;2
2021-12-11;0-9;Midtjylland;1558;0
2021-12-11;10-19;Midtjylland;797;86
2021-12-11;20-29;Midtjylland;77;114
2021-12-11;30-39;Midtjylland;48;91
2021-12-11;40-49;Midtjylland;19;35
2021-12-11;50-59;Midtjylland;7;11
2021-12-11;60-69;Midtjylland;6;2
2021-12-11;70-79;Midtjylland;1;1
2021-12-11;0-9;Syddanmark;929;0
2021-12-11;10-19;Syddanmark;479;131
2021-12-11;20-29;Syddanmark;93;131
2021-12-11;30-39;Syddanmark;88;110
2021-12-11;40-49;Syddanmark;26;62
2021-12-11;50-59;Syddanmark;17;13
2021-12-11;60-69;Syddanmark;3;8
2021-12-11;70-79;Syddanmark;2;1
;;NA;0;1
2021-12-11;0-9;Hovedstaden;1583;0
2021-12-11;10-19;Hovedstaden;924;299
2021-12-11;20-29;Hovedstaden;123;259
2021-12-11;30-39;Hovedstaden;104;230
2021-12-11;40-49;Hovedstaden;48;85
2021-12-11;50-59;Hovedstaden;28;36
2021-12-11;60-69;Hovedstaden;4;13
2021-12-11;70-79;Hovedstaden;4;5
2021-12-11;80-89;Hovedstaden;1;2
2021-12-11;0-9;Sjælland;548;0
2021-12-11;10-19;Sjælland;403;148
2021-12-11;20-29;Sjælland;59;94
2021-12-11;30-39;Sjælland;59;112
2021-12-11;40-49;Sjælland;21;41
2021-12-11;50-59;Sjælland;11;29
2021-12-11;60-69;Sjælland;6;6
2021-12-11;70-79;Sjælland;2;5
2021-12-11;80-89;Sjælland;1;1
;;NA;0;1
2021-12-12;0-9;Nordjylland;696;0
2021-12-12;10-19;Nordjylland;440;147
2021-12-12;20-29;Nordjylland;28;112
2021-12-12;30-39;Nordjylland;38;121
2021-12-12;40-49;Nordjylland;14;39
2021-12-12;50-59;Nordjylland;12;27
2021-12-12;60-69;Nordjylland;5;13
2021-12-12;70-79;Nordjylland;4;10
2021-12-12;80-89;Nordjylland;1;1
2021-12-12;0-9;Midtjylland;2560;0
2021-12-12;10-19;Midtjylland;942;29
2021-12-12;20-29;Midtjylland;22;27
2021-12-12;30-39;Midtjylland;17;48
2021-12-12;40-49;Midtjylland;10;7
2021-12-12;50-59;Midtjylland;5;2
2021-12-12;60-69;Midtjylland;2;1
2021-12-12;0-9;Syddanmark;934;2
2021-12-12;10-19;Syddanmark;550;178
2021-12-12;20-29;Syddanmark;68;130
2021-12-12;30-39;Syddanmark;57;144
2021-12-12;40-49;Syddanmark;28;60
2021-12-12;50-59;Syddanmark;17;21
2021-12-12;60-69;Syddanmark;2;6
2021-12-12;70-79;Syddanmark;4;0
2021-12-12;0-9;Hovedstaden;1797;0
2021-12-12;10-19;Hovedstaden;2623;80
2021-12-12;20-29;Hovedstaden;69;125
2021-12-12;30-39;Hovedstaden;75;110
2021-12-12;40-49;Hovedstaden;20;31
2021-12-12;50-59;Hovedstaden;14;13
2021-12-12;60-69;Hovedstaden;5;2
2021-12-12;70-79;Hovedstaden;5;1
2021-12-12;80-89;Hovedstaden;3;0
2021-12-12;0-9;Sjælland;641;0
2021-12-12;10-19;Sjælland;605;175
2021-12-12;20-29;Sjælland;54;116
2021-12-12;30-39;Sjælland;38;103
2021-12-12;40-49;Sjælland;23;49
2021-12-12;50-59;Sjælland;13;21
2021-12-12;60-69;Sjælland;9;8
;;NA;0;3
2021-12-13;0-9;Nordjylland;575;0
2021-12-13;10-19;Nordjylland;367;102
2021-12-13;20-29;Nordjylland;52;110
2021-12-13;30-39;Nordjylland;34;105
2021-12-13;40-49;Nordjylland;11;36
2021-12-13;50-59;Nordjylland;7;22
2021-12-13;60-69;Nordjylland;10;6
2021-12-13;70-79;Nordjylland;1;4
2021-12-13;80-89;Nordjylland;1;3
2021-12-13;0-9;Midtjylland;983;0
2021-12-13;10-19;Midtjylland;534;268
2021-12-13;20-29;Midtjylland;114;292
2021-12-13;30-39;Midtjylland;106;281
2021-12-13;40-49;Midtjylland;40;100
2021-12-13;50-59;Midtjylland;31;44
2021-12-13;60-69;Midtjylland;9;16
2021-12-13;70-79;Midtjylland;6;5
2021-12-13;80-89;Midtjylland;4;5
2021-12-13;0-9;Syddanmark;1314;1
2021-12-13;10-19;Syddanmark;753;124
2021-12-13;20-29;Syddanmark;113;199
2021-12-13;30-39;Syddanmark;87;261
2021-12-13;40-49;Syddanmark;34;86
2021-12-13;50-59;Syddanmark;29;35
2021-12-13;60-69;Syddanmark;17;20
2021-12-13;70-79;Syddanmark;14;12
2021-12-13;80-89;Syddanmark;7;5
2021-12-13;90+;Syddanmark;2;2
2021-12-13;0-9;Hovedstaden;1102;1
2021-12-13;10-19;Hovedstaden;618;329
2021-12-13;20-29;Hovedstaden;166;504
2021-12-13;30-39;Hovedstaden;163;509
2021-12-13;40-49;Hovedstaden;77;165
2021-12-13;50-59;Hovedstaden;43;79
2021-12-13;60-69;Hovedstaden;17;31
2021-12-13;70-79;Hovedstaden;9;14
2021-12-13;80-89;Hovedstaden;7;2
;;NA;0;2
2021-12-13;0-9;Sjælland;813;0
2021-12-13;10-19;Sjælland;506;154
2021-12-13;20-29;Sjælland;49;88
2021-12-13;30-39;Sjælland;50;119
2021-12-13;40-49;Sjælland;38;57
2021-12-13;50-59;Sjælland;17;31
2021-12-13;60-69;Sjælland;12;12
2021-12-13;70-79;Sjælland;3;6
2021-12-13;80-89;Sjælland;2;1
2021-12-13;90+;Sjælland;1;0
2021-12-14;0-9;Nordjylland;534;0
2021-12-14;10-19;Nordjylland;384;187
2021-12-14;20-29;Nordjylland;68;179
2021-12-14;30-39;Nordjylland;43;160
2021-12-14;40-49;Nordjylland;23;49
2021-12-14;50-59;Nordjylland;13;32
2021-12-14;60-69;Nordjylland;11;14
2021-12-14;70-79;Nordjylland;7;5
2021-12-14;80-89;Nordjylland;3;3
;;NA;0;1
