"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2021-03-30;1083;Syddanmark;2315;1083
2021-03-30;1084;Hovedstaden;8871;1084
2021-03-30;1085;Sjælland;4612;1085
2021-03-31;1081;Nordjylland;76;1081
2021-03-31;1082;Midtjylland;7094;1082
2021-03-31;1083;Syddanmark;2147;1083
2021-03-31;1084;Hovedstaden;2589;1084
2021-03-31;1085;Sjælland;997;1085
2021-04-01;1081;Nordjylland;13;1081
2021-04-01;1082;Midtjylland;1188;1082
2021-04-01;1083;Syddanmark;1513;1083
2021-04-01;1084;Hovedstaden;488;1084
2021-04-01;1085;Sjælland;987;1085
2021-04-02;1081;Nordjylland;1536;1081
2021-04-02;1082;Midtjylland;1217;1082
2021-04-02;1083;Syddanmark;1711;1083
2021-04-02;1084;Hovedstaden;387;1084
2021-04-02;1085;Sjælland;20;1085
2021-04-03;1081;Nordjylland;785;1081
2021-04-03;1082;Midtjylland;377;1082
2021-04-03;1083;Syddanmark;1766;1083
2021-04-03;1084;Hovedstaden;5649;1084
2021-04-03;1085;Sjælland;3381;1085
2021-04-04;1081;Nordjylland;1323;1081
2021-04-04;1082;Midtjylland;828;1082
2021-04-04;1083;Syddanmark;1355;1083
2021-04-04;1084;Hovedstaden;5570;1084
2021-04-04;1085;Sjælland;2462;1085
2021-04-05;1081;Nordjylland;1746;1081
2021-04-05;1082;Midtjylland;933;1082
2021-04-05;1083;Syddanmark;2255;1083
2021-04-05;1084;Hovedstaden;5705;1084
2021-04-05;1085;Sjælland;1563;1085
2021-04-06;1081;Nordjylland;2136;1081
2021-04-06;1082;Midtjylland;5143;1082
2021-04-06;1083;Syddanmark;2448;1083
2021-04-06;1084;Hovedstaden;3433;1084
2021-04-06;1085;Sjælland;2706;1085
2021-04-07;1081;Nordjylland;1524;1081
2021-04-07;1082;Midtjylland;6604;1082
2021-04-07;1083;Syddanmark;3997;1083
2021-04-07;1084;Hovedstaden;3440;1084
2021-04-07;1085;Sjælland;908;1085
2021-04-08;1081;Nordjylland;1226;1081
2021-04-08;1082;Midtjylland;4840;1082
2021-04-08;1083;Syddanmark;2238;1083
2021-04-08;1084;Hovedstaden;3492;1084
2021-04-08;1085;Sjælland;1865;1085
2021-04-09;1081;Nordjylland;523;1081
2021-04-09;1082;Midtjylland;1590;1082
2021-04-09;1083;Syddanmark;4245;1083
2021-04-09;1084;Hovedstaden;5974;1084
2021-04-09;1085;Sjælland;4006;1085
2021-04-10;1081;Nordjylland;1554;1081
2021-04-10;1082;Midtjylland;150;1082
2021-04-10;1083;Syddanmark;3007;1083
2021-04-10;1084;Hovedstaden;8871;1084
2021-04-10;1085;Sjælland;3052;1085
2021-04-11;1081;Nordjylland;712;1081
2021-04-11;1082;Midtjylland;183;1082
2021-04-11;1083;Syddanmark;2523;1083
2021-04-11;1084;Hovedstaden;8840;1084
2021-04-11;1085;Sjælland;2555;1085
2021-04-12;1081;Nordjylland;9723;1081
2021-04-12;1082;Midtjylland;20722;1082
2021-04-12;1083;Syddanmark;19837;1083
2021-04-12;1084;Hovedstaden;26179;1084
2021-04-12;1085;Sjælland;16848;1085
2021-04-13;1081;Nordjylland;949;1081
2021-04-13;1082;Midtjylland;5708;1082
2021-04-13;1083;Syddanmark;2797;1083
2021-04-13;1084;Hovedstaden;6656;1084
2021-04-13;1085;Sjælland;2319;1085
