"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2021-04-19;1083;Syddanmark;5860;1083
2021-04-19;1084;Hovedstaden;8695;1084
2021-04-19;1085;Sjælland;3065;1085
2021-04-20;1081;Nordjylland;1243;1081
2021-04-20;1082;Midtjylland;7876;1082
2021-04-20;1083;Syddanmark;6020;1083
2021-04-20;1084;Hovedstaden;4600;1084
2021-04-20;1085;Sjælland;2234;1085
2021-04-21;1081;Nordjylland;2954;1081
2021-04-21;1082;Midtjylland;5492;1082
2021-04-21;1083;Syddanmark;5302;1083
2021-04-21;1084;Hovedstaden;5580;1084
2021-04-21;1085;Sjælland;3158;1085
2021-04-22;1081;Nordjylland;2618;1081
2021-04-22;1082;Midtjylland;6977;1082
2021-04-22;1083;Syddanmark;4802;1083
2021-04-22;1084;Hovedstaden;11243;1084
2021-04-22;1085;Sjælland;2561;1085
2021-04-23;1081;Nordjylland;4161;1081
2021-04-23;1082;Midtjylland;4593;1082
2021-04-23;1083;Syddanmark;5644;1083
2021-04-23;1084;Hovedstaden;3728;1084
2021-04-23;1085;Sjælland;4007;1085
2021-04-24;1081;Nordjylland;3126;1081
2021-04-24;1082;Midtjylland;269;1082
2021-04-24;1083;Syddanmark;3890;1083
2021-04-24;1084;Hovedstaden;6675;1084
