Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-05-09; 3; 5,4285714; 380,95238; 617,76062; 788,17734; 952,38095; 350,34014; 568,11914; 724,84166; 875,85034; 96476,19048;156447,87645;199605,91133;241190,47619; 2833,3333; 4594,5946; 5862,0690; 7083,3333
2020-05-10; 5; 4,8571429; 404,76190; 656,37066; 837,43842;1011,90476; 346,93878; 562,60342; 717,80436; 867,34694; 96880,95238;157104,24710;200443,34975;242202,38095; 2571,4286; 4169,8842; 5320,1970; 6428,5714
2020-05-11; 4; 4,4285714; 380,95238; 617,76062; 788,17734; 952,38095; 346,93878; 562,60342; 717,80436; 867,34694; 97261,90476;157722,00772;201231,52709;243154,76190; 2500,0000; 4054,0541; 5172,4138; 6250,0000
2020-05-12; 7; 5,0000000; 380,95238; 617,76062; 788,17734; 952,38095; 343,53741; 557,08770; 710,76707; 858,84354; 97642,85714;158339,76834;202019,70443;244107,14286; 2428,5714; 3938,2239; 5024,6305; 6071,4286
2020-05-13; 5; 4,8571429; 309,52381; 501,93050; 640,39409; 773,80952; 316,32653; 512,96194; 654,46868; 790,81633; 97952,38095;158841,69884;202660,09852;244880,95238; 2404,7619; 3899,6139; 4975,3695; 6011,9048
2020-05-14; 0; 4,0000000; 285,71429; 463,32046; 591,13300; 714,28571; 289,11565; 468,83618; 598,17030; 722,78912; 98238,09524;159305,01931;203251,23153;245595,23810; 2547,6190; 4131,2741; 5270,9360; 6369,0476
2020-05-15; 6; 4,2857143; 261,90476; 424,71042; 541,87192; 654,76190; 255,10204; 413,67899; 527,79733; 637,75510; 98500,00000;159729,72973;203793,10345;246250,00000; 2690,4762; 4362,9344; 5566,5025; 6726,1905
2020-05-16; 3; 4,2857143; 190,47619; 308,88031; 394,08867; 476,19048; 217,68707; 353,00607; 450,38705; 544,21769; 98690,47619;160038,61004;204187,19212;246726,19048; 2904,7619; 4710,4247; 6009,8522; 7261,9048
2020-05-17; 3; 4,0000000; 214,28571; 347,49035; 443,34975; 535,71429; 190,47619; 308,88031; 394,08867; 476,19048; 98904,76190;160386,10039;204630,54187;247261,90476; 3119,0476; 5057,9151; 6453,2020; 7797,6190
2020-05-18; 3; 3,8571429; 142,85714; 231,66023; 295,56650; 357,14286; 170,06803; 275,78599; 351,86488; 425,17007; 99047,61905;160617,76062;204926,10837;247619,04762; 3261,9048; 5289,5753; 6748,7685; 8154,7619
