Aldersgruppe;Date;Variable;Total;Weekly_diff
60-69;2020-07-29;testede;129417; 8075
70-79;2020-07-29;positive;  1131;   17
70-79;2020-07-29;testede; 99381; 6960
80-89;2020-07-29;positive;   852;    6
80-89;2020-07-29;testede; 44216; 2554
90+;2020-07-29;positive;   270;    1
90+;2020-07-29;testede; 10227;  473
0-9;2020-08-05;positive;   423;   19
0-9;2020-08-05;testede; 83974; 3836
10-19;2020-08-05;positive;   824;   73
10-19;2020-08-05;testede;102837;10318
20-29;2020-08-05;positive;  2123;  130
20-29;2020-08-05;testede;192833;15495
30-39;2020-08-05;positive;  2099;  103
30-39;2020-08-05;testede;179917;12158
40-49;2020-08-05;positive;  2473;  103
40-49;2020-08-05;testede;177871;13246
50-59;2020-08-05;positive;  2520;   90
50-59;2020-08-05;testede;182315;13502
60-69;2020-08-05;positive;  1563;   35
60-69;2020-08-05;testede;139015; 9598
70-79;2020-08-05;positive;  1154;   23
70-79;2020-08-05;testede;107048; 7667
80-89;2020-08-05;positive;   857;    5
80-89;2020-08-05;testede; 46984; 2768
90+;2020-08-05;positive;   270;    0
90+;2020-08-05;testede; 10692;  465
0-9;2020-08-12;positive;   489;   66
0-9;2020-08-12;testede; 90587; 6613
10-19;2020-08-12;positive;   982;  158
10-19;2020-08-12;testede;117453;14616
20-29;2020-08-12;positive;  2338;  215
20-29;2020-08-12;testede;213362;20529
30-39;2020-08-12;positive;  2231;  132
30-39;2020-08-12;testede;195545;15628
40-49;2020-08-12;positive;  2581;  108
40-49;2020-08-12;testede;193838;15967
50-59;2020-08-12;positive;  2664;  144
50-59;2020-08-12;testede;198281;15966
60-69;2020-08-12;positive;  1621;   58
60-69;2020-08-12;testede;150137;11122
70-79;2020-08-12;positive;  1177;   23
70-79;2020-08-12;testede;115575; 8527
80-89;2020-08-12;positive;   859;    2
80-89;2020-08-12;testede; 49887; 2903
90+;2020-08-12;positive;   272;    2
90+;2020-08-12;testede; 11161;  469
0-9;2020-08-19;positive;   548;   59
0-9;2020-08-19;testede;101883;11296
10-19;2020-08-19;positive;  1161;  179
10-19;2020-08-19;testede;138770;21317
20-29;2020-08-19;positive;  2553;  215
20-29;2020-08-19;testede;239405;26043
30-39;2020-08-19;positive;  2363;  132
30-39;2020-08-19;testede;216068;20523
40-49;2020-08-19;positive;  2682;  101
40-49;2020-08-19;testede;214473;20635
50-59;2020-08-19;positive;  2757;   93
50-59;2020-08-19;testede;217688;19407
60-69;2020-08-19;positive;  1657;   36
60-69;2020-08-19;testede;163712;13575
70-79;2020-08-19;positive;  1194;   17
70-79;2020-08-19;testede;125619;10044
80-89;2020-08-19;positive;   866;    7
80-89;2020-08-19;testede; 53320; 3433
90+;2020-08-19;positive;   275;    3
90+;2020-08-19;testede; 11676;  515
0-9;2020-08-26;positive;   586;   38
0-9;2020-08-26;testede;118649;16766
10-19;2020-08-26;positive;  1269;  108
10-19;2020-08-26;testede;167354;28584
20-29;2020-08-26;positive;  2734;  181
20-29;2020-08-26;testede;262368;22963
30-39;2020-08-26;positive;  2431;   68
30-39;2020-08-26;testede;235504;19436
40-49;2020-08-26;positive;  2741;   59
40-49;2020-08-26;testede;234603;20130
50-59;2020-08-26;positive;  2815;   58
50-59;2020-08-26;testede;234686;16998
60-69;2020-08-26;positive;  1695;   38
60-69;2020-08-26;testede;174945;11233
70-79;2020-08-26;positive;  1209;   15
70-79;2020-08-26;testede;133759; 8140
80-89;2020-08-26;positive;   871;    5
80-89;2020-08-26;testede; 56005; 2685
90+;2020-08-26;positive;   276;    1
90+;2020-08-26;testede; 12120;  444
0-9;2020-09-02;positive;   613;   27
0-9;2020-09-02;testede;133703;15054
10-19;2020-09-02;positive;  1371;  102
10-19;2020-09-02;testede;195840;28486
20-29;2020-09-02;positive;  2939;  205
20-29;2020-09-02;testede;283957;21589
30-39;2020-09-02;positive;  2551;  120
30-39;2020-09-02;testede;254780;19276
40-49;2020-09-02;positive;  2859;  118
40-49;2020-09-02;testede;254110;19507
50-59;2020-09-02;positive;  2908;   93
50-59;2020-09-02;testede;250994;16308
60-69;2020-09-02;positive;  1744;   49
60-69;2020-09-02;testede;185789;10844
70-79;2020-09-02;positive;  1233;   24
70-79;2020-09-02;testede;141238; 7479
80-89;2020-09-02;positive;   878;    7
80-89;2020-09-02;testede; 58592; 2587
90+;2020-09-02;positive;   278;    2
90+;2020-09-02;testede; 12567;  447
0-9;2020-09-09;positive;   700;   87
0-9;2020-09-09;testede;146735;13032
10-19;2020-09-09;positive;  1613;  242
10-19;2020-09-09;testede;226773;30933
20-29;2020-09-09;positive;  3293;  354
20-29;2020-09-09;testede;308360;24403
30-39;2020-09-09;positive;  2807;  256
30-39;2020-09-09;testede;274358;19578
40-49;2020-09-09;positive;  3076;  217
40-49;2020-09-09;testede;274712;20602
50-59;2020-09-09;positive;  3102;  194
50-59;2020-09-09;testede;268263;17269
60-69;2020-09-09;positive;  1860;  116
60-69;2020-09-09;testede;196935;11146
70-79;2020-09-09;positive;  1296;   63
70-79;2020-09-09;testede;148472; 7234
80-89;2020-09-09;positive;   897;   19
80-89;2020-09-09;testede; 61123; 2531
90+;2020-09-09;positive;   280;    2
90+;2020-09-09;testede; 13054;  487
0-9;2020-09-16;positive;   811;  111
0-9;2020-09-16;testede;160399;13664
10-19;2020-09-16;positive;  2021;  408
10-19;2020-09-16;testede;264441;37668
20-29;2020-09-16;positive;  3812;  519
20-29;2020-09-16;testede;337693;29333
30-39;2020-09-16;positive;  3144;  337
30-39;2020-09-16;testede;297970;23612
