"Revacc. 1 dato";"Regionsnavn";"Antal revacc. 1"
2021-12-06;Hovedstaden;12557
2021-12-06;Sjælland;4580
2021-12-07;Nordjylland;3857
2021-12-07;Midtjylland;8402
2021-12-07;Syddanmark;8064
2021-12-07;Hovedstaden;13398
2021-12-07;Sjælland;4882
2021-12-08;Nordjylland;3330
2021-12-08;Midtjylland;10674
2021-12-08;Syddanmark;8279
2021-12-08;Hovedstaden;17694
2021-12-08;Sjælland;7477
2021-12-09;Nordjylland;3241
2021-12-09;Midtjylland;10686
2021-12-09;Syddanmark;9400
2021-12-09;Hovedstaden;18933
2021-12-09;Sjælland;6016
