"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2021-01-20;65-79;Midtjylland;184;3
2021-01-20;80+;Midtjylland;200;0
2021-01-20;20-39;Syddanmark;27;33
2021-01-20;40-64;Syddanmark;64;112
2021-01-20;65-79;Syddanmark;51;55
2021-01-20;80+;Syddanmark;58;78
2021-01-20;20-39;Hovedstaden;11;60
2021-01-20;40-64;Hovedstaden;13;61
2021-01-20;65-79;Hovedstaden;5;10
2021-01-20;80+;Hovedstaden;2;2
;;NA;0;1
2021-01-20;20-39;Sjælland;16;176
2021-01-20;40-64;Sjælland;60;514
2021-01-20;65-79;Sjælland;11;197
2021-01-20;80+;Sjælland;138;338
2021-01-21;16-19;Nordjylland;1;0
2021-01-21;20-39;Nordjylland;7;3
2021-01-21;40-64;Nordjylland;9;7
2021-01-21;65-79;Nordjylland;1;0
2021-01-21;16-19;Midtjylland;10;0
2021-01-21;20-39;Midtjylland;156;189
2021-01-21;40-64;Midtjylland;394;355
2021-01-21;65-79;Midtjylland;285;31
2021-01-21;80+;Midtjylland;282;1
2021-01-21;20-39;Syddanmark;10;28
2021-01-21;40-64;Syddanmark;52;136
2021-01-21;65-79;Syddanmark;49;95
2021-01-21;80+;Syddanmark;25;141
2021-01-21;20-39;Hovedstaden;10;43
2021-01-21;40-64;Hovedstaden;13;61
2021-01-21;65-79;Hovedstaden;2;9
2021-01-21;80+;Hovedstaden;2;4
;;NA;0;1
2021-01-21;20-39;Sjælland;24;136
2021-01-21;40-64;Sjælland;61;458
2021-01-21;65-79;Sjælland;12;180
2021-01-21;80+;Sjælland;71;314
;;NA;0;4
2021-01-22;20-39;Nordjylland;57;497
2021-01-22;40-64;Nordjylland;73;1076
2021-01-22;65-79;Nordjylland;15;254
2021-01-22;80+;Nordjylland;12;526
2021-01-22;12-15;Midtjylland;1;0
;;NA;0;4
2021-01-22;20-39;Midtjylland;13;98
2021-01-22;40-64;Midtjylland;33;330
2021-01-22;65-79;Midtjylland;55;225
2021-01-22;80+;Midtjylland;59;407
2021-01-22;16-19;Syddanmark;1;3
2021-01-22;20-39;Syddanmark;27;262
2021-01-22;40-64;Syddanmark;51;721
2021-01-22;65-79;Syddanmark;19;165
2021-01-22;80+;Syddanmark;43;242
2021-01-22;16-19;Hovedstaden;1;0
2021-01-22;20-39;Hovedstaden;19;38
2021-01-22;40-64;Hovedstaden;27;37
2021-01-22;65-79;Hovedstaden;4;7
2021-01-22;80+;Hovedstaden;2;0
2021-01-22;16-19;Sjælland;1;2
2021-01-22;20-39;Sjælland;31;117
2021-01-22;40-64;Sjælland;78;299
2021-01-22;65-79;Sjælland;9;25
2021-01-22;80+;Sjælland;10;2
;;NA;0;4
2021-01-23;20-39;Nordjylland;5;137
2021-01-23;40-64;Nordjylland;11;540
2021-01-23;65-79;Nordjylland;10;177
2021-01-23;80+;Nordjylland;29;385
