"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
810;50-59;173;2021-03-19
813;50-59;282;2021-03-19
820;50-59;113;2021-03-19
825;50-59;6;2021-03-19
840;50-59;101;2021-03-19
846;50-59;157;2021-03-19
849;50-59;177;2021-03-19
851;50-59;766;2021-03-19
860;50-59;252;2021-03-19
;60-69;98;2021-03-19
011;60-69;16;2021-03-19
019;60-69;1;2021-03-19
101;60-69;2104;2021-03-19
147;60-69;359;2021-03-19
151;60-69;217;2021-03-19
153;60-69;244;2021-03-19
155;60-69;73;2021-03-19
157;60-69;347;2021-03-19
159;60-69;334;2021-03-19
161;60-69;108;2021-03-19
163;60-69;180;2021-03-19
165;60-69;161;2021-03-19
167;60-69;276;2021-03-19
169;60-69;250;2021-03-19
173;60-69;203;2021-03-19
175;60-69;223;2021-03-19
183;60-69;141;2021-03-19
185;60-69;207;2021-03-19
187;60-69;74;2021-03-19
190;60-69;131;2021-03-19
201;60-69;76;2021-03-19
210;60-69;180;2021-03-19
217;60-69;327;2021-03-19
219;60-69;209;2021-03-19
223;60-69;110;2021-03-19
230;60-69;220;2021-03-19
240;60-69;164;2021-03-19
250;60-69;142;2021-03-19
253;60-69;203;2021-03-19
259;60-69;197;2021-03-19
260;60-69;115;2021-03-19
265;60-69;283;2021-03-19
269;60-69;96;2021-03-19
270;60-69;176;2021-03-19
306;60-69;119;2021-03-19
316;60-69;283;2021-03-19
320;60-69;128;2021-03-19
326;60-69;169;2021-03-19
329;60-69;103;2021-03-19
330;60-69;291;2021-03-19
336;60-69;77;2021-03-19
340;60-69;106;2021-03-19
350;60-69;91;2021-03-19
360;60-69;133;2021-03-19
370;60-69;300;2021-03-19
376;60-69;201;2021-03-19
390;60-69;131;2021-03-19
400;60-69;69;2021-03-19
410;60-69;92;2021-03-19
420;60-69;58;2021-03-19
430;60-69;91;2021-03-19
440;60-69;64;2021-03-19
450;60-69;90;2021-03-19
461;60-69;455;2021-03-19
479;60-69;123;2021-03-19
480;60-69;61;2021-03-19
482;60-69;28;2021-03-19
492;60-69;4;2021-03-19
510;60-69;86;2021-03-19
530;60-69;50;2021-03-19
540;60-69;123;2021-03-19
550;60-69;70;2021-03-19
561;60-69;265;2021-03-19
563;60-69;7;2021-03-19
573;60-69;129;2021-03-19
575;60-69;88;2021-03-19
580;60-69;118;2021-03-19
607;60-69;112;2021-03-19
615;60-69;183;2021-03-19
621;60-69;251;2021-03-19
630;60-69;250;2021-03-19
657;60-69;214;2021-03-19
661;60-69;198;2021-03-19
665;60-69;45;2021-03-19
671;60-69;80;2021-03-19
706;60-69;78;2021-03-19
707;60-69;81;2021-03-19
710;60-69;81;2021-03-19
727;60-69;56;2021-03-19
730;60-69;238;2021-03-19
740;60-69;192;2021-03-19
741;60-69;24;2021-03-19
746;60-69;163;2021-03-19
751;60-69;948;2021-03-19
756;60-69;98;2021-03-19
760;60-69;109;2021-03-19
766;60-69;104;2021-03-19
773;60-69;58;2021-03-19
779;60-69;80;2021-03-19
787;60-69;153;2021-03-19
791;60-69;171;2021-03-19
810;60-69;91;2021-03-19
813;60-69;167;2021-03-19
820;60-69;93;2021-03-19
825;60-69;3;2021-03-19
840;60-69;67;2021-03-19
846;60-69;127;2021-03-19
849;60-69;124;2021-03-19
851;60-69;468;2021-03-19
860;60-69;150;2021-03-19
;70-79;26;2021-03-19
011;70-79;2;2021-03-19
101;70-79;1185;2021-03-19
147;70-79;319;2021-03-19
151;70-79;154;2021-03-19
153;70-79;145;2021-03-19
155;70-79;41;2021-03-19
157;70-79;210;2021-03-19
159;70-79;175;2021-03-19
161;70-79;74;2021-03-19
163;70-79;97;2021-03-19
165;70-79;93;2021-03-19
167;70-79;112;2021-03-19
169;70-79;162;2021-03-19
173;70-79;138;2021-03-19
175;70-79;98;2021-03-19
183;70-79;98;2021-03-19
185;70-79;138;2021-03-19
187;70-79;64;2021-03-19
190;70-79;84;2021-03-19
201;70-79;62;2021-03-19
210;70-79;124;2021-03-19
217;70-79;221;2021-03-19
219;70-79;133;2021-03-19
223;70-79;85;2021-03-19
230;70-79;139;2021-03-19
240;70-79;162;2021-03-19
250;70-79;99;2021-03-19
253;70-79;135;2021-03-19
259;70-79;171;2021-03-19
260;70-79;66;2021-03-19
265;70-79;189;2021-03-19
269;70-79;70;2021-03-19
270;70-79;124;2021-03-19
306;70-79;82;2021-03-19
316;70-79;132;2021-03-19
320;70-79;73;2021-03-19
326;70-79;117;2021-03-19
329;70-79;46;2021-03-19
330;70-79;213;2021-03-19
336;70-79;68;2021-03-19
340;70-79;47;2021-03-19
350;70-79;60;2021-03-19
360;70-79;81;2021-03-19
370;70-79;193;2021-03-19
376;70-79;143;2021-03-19
390;70-79;76;2021-03-19
400;70-79;80;2021-03-19
410;70-79;47;2021-03-19
420;70-79;27;2021-03-19
430;70-79;65;2021-03-19
440;70-79;29;2021-03-19
450;70-79;61;2021-03-19
461;70-79;253;2021-03-19
479;70-79;83;2021-03-19
480;70-79;37;2021-03-19
482;70-79;15;2021-03-19
492;70-79;6;2021-03-19
510;70-79;41;2021-03-19
530;70-79;54;2021-03-19
540;70-79;78;2021-03-19
550;70-79;41;2021-03-19
561;70-79;179;2021-03-19
563;70-79;11;2021-03-19
573;70-79;86;2021-03-19
575;70-79;51;2021-03-19
580;70-79;84;2021-03-19
607;70-79;68;2021-03-19
615;70-79;126;2021-03-19
621;70-79;130;2021-03-19
630;70-79;153;2021-03-19
657;70-79;98;2021-03-19
661;70-79;118;2021-03-19
665;70-79;31;2021-03-19
671;70-79;44;2021-03-19
706;70-79;62;2021-03-19
707;70-79;48;2021-03-19
710;70-79;57;2021-03-19
727;70-79;33;2021-03-19
730;70-79;131;2021-03-19
740;70-79;139;2021-03-19
741;70-79;10;2021-03-19
746;70-79;112;2021-03-19
751;70-79;464;2021-03-19
756;70-79;63;2021-03-19
760;70-79;63;2021-03-19
766;70-79;61;2021-03-19
773;70-79;51;2021-03-19
779;70-79;65;2021-03-19
787;70-79;91;2021-03-19
791;70-79;98;2021-03-19
810;70-79;86;2021-03-19
813;70-79;103;2021-03-19
820;70-79;50;2021-03-19
825;70-79;2;2021-03-19
840;70-79;37;2021-03-19
846;70-79;72;2021-03-19
849;70-79;63;2021-03-19
851;70-79;296;2021-03-19
860;70-79;100;2021-03-19
;80-89;10;2021-03-19
101;80-89;586;2021-03-19
147;80-89;254;2021-03-19
151;80-89;155;2021-03-19
153;80-89;82;2021-03-19
155;80-89;18;2021-03-19
157;80-89;122;2021-03-19
159;80-89;141;2021-03-19
161;80-89;57;2021-03-19
163;80-89;89;2021-03-19
